 Month    Low     2      3      4      5      6      7      8      9    High
194410   0.06  -0.32   0.49  -0.02   0.68   1.69  -0.24  -0.08  -0.83  -0.74
194411   1.55   2.21   2.04   1.35   2.60   2.77   2.19   2.67   2.59   3.32
194412   5.73   4.39   6.69   5.24   6.28   7.57   7.73   7.76  10.64   7.89
194501   4.44   3.64   4.08   3.79   3.19   3.55   2.92   4.16   6.28   8.11
194502   8.55   6.42   6.61   7.21   8.44   8.78   8.21  10.72   8.74  11.36
194503  -3.77  -3.29  -4.55  -4.79  -6.14  -5.49  -5.57  -5.66  -8.06  -8.99
194504   7.13   6.85   7.34   7.13   9.71   9.06   9.54   8.95  11.33  12.52
194505   4.27   2.85   2.08   3.44   0.97   2.54   2.88   2.81   4.53   2.90
194506   2.40   1.41   2.45   1.17   2.89   1.65   3.25   5.27   7.01   8.59
194507  -3.61  -2.43  -3.04  -2.20  -2.99  -3.25  -2.93  -3.48  -4.71  -5.32
194508   6.33   7.17   6.42   7.81   7.52   7.98   8.16   6.57   5.38   3.37
194509   5.96   5.98   5.16   6.88   6.54   5.99   6.55   7.65   6.90   5.89
194510   7.30   5.40   5.97   7.57   6.83   7.58   5.41   5.97   6.93   6.71
194511   8.35   6.12   7.71   8.92   7.71   9.77  10.33  11.58  13.41  10.52
194512   1.37   2.26   1.08   2.51   1.27   3.89   2.32   3.46   2.68   3.42
194601   7.74   5.36   7.91   8.40  10.40  11.17  10.08   8.49  10.96  14.95
194602  -4.57  -6.29  -5.72  -6.96  -5.37  -6.49  -8.46  -6.94  -7.26  -7.89
194603   5.18   4.83   5.61   5.01   4.79   6.72   6.88   7.99   6.67   5.18
194604   2.94   3.50   3.38   5.02   6.54   5.73   5.58   6.54   7.29   6.98
194605   6.29   5.88   4.36   7.25   6.06   5.80   6.10   5.78   4.74   3.31
194606  -4.38  -3.24  -4.30  -3.35  -5.53  -4.86  -5.48  -6.10  -5.70  -6.33
194607  -5.19  -3.95  -3.39  -4.14  -4.66  -4.18  -4.13  -3.92  -4.23  -3.55
194608  -7.84  -6.84  -7.28  -5.95  -7.09  -7.12  -8.13  -8.13  -7.88  -8.27
194609 -17.06 -14.05 -13.72 -12.89 -12.21 -12.80 -12.25 -12.80 -12.35 -14.12
194610  -2.22  -1.20  -1.68  -1.86  -0.34  -0.46  -0.74  -0.39  -1.67  -1.70
194611  -2.69  -1.10   0.77   0.36  -0.24   1.30   0.71   0.28  -0.48  -1.13
194612   2.30   3.70   7.26   5.13   4.86   4.78   4.89   2.89   4.81   7.26
194701   7.87   7.16   4.46   4.83   2.17   2.73   0.75   1.18  -0.54  -0.20
194702  -0.06  -0.84  -1.68  -0.38  -0.54  -0.27  -0.24  -0.70  -0.82  -0.50
194703  -7.20  -4.24  -3.80  -2.84  -2.52  -2.40  -2.07  -1.30  -1.83  -1.30
194704 -14.45 -10.38  -9.74  -8.75  -7.28  -7.02  -6.42  -4.65  -6.41  -6.72
194705  -7.39  -5.94  -5.25  -3.70  -2.41  -3.32  -3.47  -2.63  -2.34  -2.07
194706   7.79   5.81   5.54   7.05   4.75   5.80   6.53   5.34   4.50   4.69
194707   8.13   8.37   7.14   6.50   6.49   5.49   4.62   4.98   4.74   5.79
194708  -4.13  -3.31  -3.55  -1.32  -1.74  -1.64  -0.85   0.19  -0.61  -0.64
194709   1.90  -1.26   0.17   0.54   0.51   0.04   0.85   0.20   0.90   2.69
194710   2.68   4.37   3.97   3.99   2.37   3.97   2.41   3.37   2.49   4.55
194711  -7.14  -4.61  -4.66  -3.60  -2.60  -3.45  -1.62  -1.48  -0.86   0.06
194712  -1.40   1.21  -0.21   2.90   2.49   1.17   2.89   2.81   5.36   5.64
194801   2.77  -0.10   0.69   0.10  -3.20  -3.01  -2.81  -3.31  -3.77  -4.16
194802  -9.48  -6.86  -6.25  -5.92  -4.99  -4.94  -4.53  -5.43  -6.01  -5.56
194803  12.61  10.07   7.64  10.01   8.48   7.34   8.17  10.07   9.84  11.99
194804   0.36   2.38   3.89   2.84   4.54   2.66   3.85   4.97   5.33   7.22
194805  10.66   9.70   6.43   8.05  10.06   7.62   7.54   9.34   9.98   8.69
194806  -5.71  -2.65  -2.55  -2.31  -1.54  -1.38  -1.16   0.25   0.11   2.47
194807  -5.33  -5.91  -4.10  -3.91  -5.11  -5.61  -5.91  -5.26  -6.66  -5.22
194808  -1.70  -0.53   0.39  -0.15   0.15  -0.89   0.25   0.18   0.19   0.09
194809  -7.41  -4.23  -3.16  -3.09  -3.14  -3.70  -3.91  -4.43  -4.44  -5.37
194810   4.11   4.67   5.11   4.58   4.10   5.11   6.25   6.36   5.93   6.78
194811 -16.05 -11.23 -10.26  -8.52  -8.83  -9.28  -9.39 -10.38 -10.02 -12.80
194812  -2.51  -0.18  -0.93   0.28   1.35   1.60   1.58   3.11   3.84   4.55
194901   6.02   3.14   1.74   2.61   2.06   1.10   1.41   0.59   0.46  -0.16
194902  -6.03  -4.40  -4.39  -3.80  -3.00  -4.60  -2.54  -3.72  -3.90  -4.33
194903   7.78   6.90   6.93   4.97   6.27   4.10   5.45   5.15   4.94   7.16
194904  -5.53  -4.90  -3.99  -3.81  -2.69  -3.05  -3.35  -1.77  -1.28  -1.28
194905  -8.65  -6.34  -5.09  -4.59  -4.28  -3.29  -2.23  -3.85  -1.87  -2.53
194906  -0.35  -0.57  -0.45  -0.71  -1.46  -1.93  -1.20   0.25  -1.15  -0.09
194907   7.32   7.22   6.89   6.96   6.55   5.91   5.71   5.05   5.41   5.69
194908   1.99   2.68   1.27   2.47   3.06   3.01   2.62   1.99   3.44   2.37
194909   7.30   5.43   4.28   3.74   3.45   2.80   3.73   3.32   3.75   5.14
194910   6.83   3.59   4.38   4.13   2.58   3.52   3.78   2.62   3.29   4.48
194911  -3.73   0.84   1.12   0.81   0.62   1.64   1.63   1.00   2.76   2.16
194912   8.93   9.08   7.47   7.95   5.39   5.97   6.05   6.61   6.90   6.65
195001   7.48   6.22   5.10   3.88   2.35   3.26   2.27   2.80   2.96   4.03
195002   0.47   2.08   1.53   0.34   0.83   1.72   1.36   1.65   4.01   2.57
195003  -2.40  -0.81  -0.05  -0.11  -0.66  -0.15  -0.50   0.91  -0.34   2.03
195004   7.51   6.91   4.38   4.17   5.49   4.43   2.84   4.39   4.12   4.16
195005   3.66   4.02   1.89   2.39   4.06   2.64   4.23   3.45   3.52   3.25
195006  -6.71  -6.16  -7.08  -5.91  -7.21  -7.28  -7.62  -8.83  -9.54  -8.83
195007   5.72   6.05   2.45   5.37   5.70   5.45   6.27   7.08   6.26   1.87
195008   4.48   3.95   4.53   5.48   3.60   4.23   4.57   5.99   6.43   7.17
